"The Aft Primary Hallway",21.8366,82.1472,0,0,293.15,75000
"EVA Storage",21.8366,82.1472,0,0,293.15,5000
"Space",1.4013e-045,1.4013e-045,0,0,13.8712,65000
"The Bar",21.8264,82.1089,1.14583e-005,0,293.15,320000
"The Toxins Test Area",0.01,0.01,0,0,2.7,17500
"Dormitory Maintenance",1.4013e-045,1.4013e-045,0,0,293.15,7500
"Hydroponics",21.8366,82.1472,0,0,293.15,7500
"Medbay Treatment Center",21.8366,82.1472,0,0,293.15,2500
"Space",0.01,0.01,0,0,2.7,2500
"The Thunderdome",21.8366,82.1472,0,0,293.15,2500
"Space",1.4013e-045,1.4013e-045,0,0,2.7,2500
"The Thunderdome",21.8366,82.1472,0,0,293.15,2500
"Bar Maintenance",21.8366,82.1472,0,0,293.15,5000
"The Central Primary Hallway",21.8366,82.1472,0,0,293.15,10000
"The Thunderdome",21.8366,82.1472,0,0,293.15,2500
"Mine",21.8366,82.1472,0,0,293.15,5000
