"Space",1.4013e-045,1.4013e-045,0,0,2.7,2500
"Genetics Lab",21.8366,82.1472,0,0,293.15,20000
"Engineering",21.8366,82.1472,0,0,293.15,12500
"Mining Station Port Wing",21.8366,82.1472,0,0,293.15,12500
"Medbay Maintenance",1.4013e-045,1.4013e-045,0,0,293.15,7500
"Hydroponics",21.8366,82.1472,0,0,293.15,2500
"The Chapel",21.8366,82.1472,0,0,293.15,7500
"West Mining Outpost",21.8366,82.1472,0,0,293.15,5000
"The Transport Shuttle Centcom",5.60519e-045,5.60519e-045,0,0,2.7,2500
"Mining Station Port Wing",21.8366,82.1472,0,0,293.15,12500
"The Special Ops Shuttle",21.8366,82.1472,0,0,293.15,2500
"Space",1.4013e-045,1.4013e-045,0,0,2.7,15000
"The Construction Area",21.8112,82.0517,0,0,293.15,107500
"Mining Station Port Wing",21.8366,82.1472,0,0,293.15,2500
"Waste Disposal",21.8366,82.1472,0,0,293.15,22500
"The AI Satellite Teleporter Room",0.00106869,0.00106869,0,0,2.7,2500
"Atmospherics",0,0,49925.2,0,293.15,22500
"Medbay Maintenance",21.8366,82.1472,0,0,293.15,7500
"Mine",21.8366,82.1472,0,0,293.15,5000
"Virology",21.8366,82.1472,0,0,293.15,2500
"The Administration Shuttle Centcom",21.8366,82.1472,0,0,293.15,2500
"The Cargo Bay",21.8366,82.1472,0,0,293.15,12500
"Science Maintenance",21.8366,82.1472,0,0,293.15,5000
"The Detective's Office",21.8366,82.1472,0,0,293.15,77500
"The Gateway",21.8366,82.1472,0,0,293.15,52500
"The Warden",21.8366,82.1472,0,0,293.15,2500
"Abandoned Mining Station",21.8366,82.1472,0,0,293.15,5000
"The Telecoms Central Compartment",21.8366,82.1472,0,0,293.15,12500
"The Abandoned Ship",21.8366,82.1472,0,0,293.15,60000
